"Team","Abbreviation","Win%","Elo Rating"
"San Fransisco 49ers","SF",".75","1685"
"Chicago Bears","Chi",".18","1321"
"Cincinnati Bengals","Cin",".74","1719"
"Buffalo Bills","Buf",".78","1692"
"Denver Broncos","Den",".29","1374"
"Cleveland Browns","Cle",".41","1496"
"Tampa Bay Buccaneers","TB",".44","1477"
"Arizona Cardinals","ARI",".24","1382"
"Los Angeles Chargers","LAC",".56","1517"
"Kansas City Chiefs","KC",".85","1757"
"Indianapolis Colts","Ind",".25","1371"
"Washington Commanders","Was",".5","1485"
"Dallas Cowboys","Dal",".68","1628"
"Miami Dolphins","Mia",".5","1493"
"Philadelphia Eagles","PHI",".8","1648"
"Atlanta Falcons","ATL",".41","1441"
"New York Giants","NYG",".56","1469"
"Jacksonville Jaguars","JAX",".53","1517"
"New York Jets","NYJ",".41","1396"
"Detroit Lions","DET",".53","1509"
"Green Bay Packers","GB",".47","1534"
"Carolina Panthers","Car",".41","1467"
"New England Patriots","NE",".47","1513"
"Las Vegas Raiders","LV",".35","1465"
"Los Angeles Rams","LA",".29","1422"
"Baltamore Ravens","Bal",".56","1535"
"New Orleans Saints","NO",".41","1510"
"Seattle Seahawks","SEA",".5","1500"
"Pittsburgh Steelers","Pit",".53","1553"
"Houston Texans","Hou",".19","1332"
"Tennessee Titans","Ten",".41","1444"
"Minnesota Vikings","Min",".72","1529"
